source,role,url,license_or_terms,version_or_release,access_date,source_detail,redistribution_status,used_in_release_tables
"Gmyrek et al. (2025), ILO Working Paper 140",Occupation-level generative AI exposure scores over ISCO-08 occupations.,https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure,"ILO repository source page lists CC BY 4.0; ILO post-2023 open-access publication terms apply, with third-party material exclusions where relevant.","ILO Working Paper 140, 2025",2026-05-02,Task-level score_2025 values aggregated to ISCO-08 4-digit and 2-digit occupations.,Derived ISCO-08 2-digit and national aggregate exposure tables are redistributed; original source workbook/PDF is not redistributed.,data/core/isco2_exposure_scores.csv; data/core/nation_exposure_enriched.csv; data/core/nation_exposure_by_sex.csv; data/mechanisms/gender_gap.csv; data/mechanisms/gender_wc_decomposition.csv; data/mechanisms/gender_wcs_decomposition.csv; data/mechanisms/white_collar_analysis.csv; data/mechanisms/wc_bc_sensitivity.csv; data/mechanisms/wage_weighted_exposure.csv; data/mechanisms/occupation_contributions.csv; data/mechanisms/gender_decomposition_summary.csv; data/paper_tables/cross_country_labor_composition.csv; data/paper_tables/gmyrek_hierarchy_summary.csv; data/paper_tables/structural_baseline_metrics.csv; data/robustness/alternative_exposure_occupation.csv; data/robustness/alternative_exposure_national.csv; data/robustness/alternative_exposure_summary.csv; data/robustness/wc_boundary_sensitivity.csv; data/validation/exposure_predictor_country_panel.csv; data/validation/appendix_predicting_exposure_regressions.csv
ILO ILOSTAT,Country employment by sex and ISCO occupation; wage and labor-share inputs where available.,https://ilostat.ilo.org/,"ILOSTAT aggregate data and accompanying metadata are covered by the ILO post-2023 CC BY 4.0 data policy, excluding restricted microdata; cite ILOSTAT.",Most recent country-year observations available in local analysis snapshot.,2026-05-02,ISCO-08 2-digit employment by sex and occupation; ISCO wage and labor share indicators.,"Derived occupational-share, national, wage-weighted, and labor-share aggregates are redistributed; raw ILOSTAT snapshots and restricted microdata are not redistributed.",data/core/nation_exposure_enriched.csv; data/core/nation_exposure_by_sex.csv; data/mechanisms/gender_gap.csv; data/mechanisms/gender_wc_decomposition.csv; data/mechanisms/gender_wcs_decomposition.csv; data/mechanisms/white_collar_analysis.csv; data/mechanisms/wc_bc_sensitivity.csv; data/mechanisms/wage_weighted_exposure.csv; data/mechanisms/labor_share.csv; data/mechanisms/occupation_contributions.csv; data/mechanisms/gender_decomposition_summary.csv; data/paper_tables/cross_country_labor_composition.csv; data/paper_tables/gmyrek_hierarchy_summary.csv; data/paper_tables/structural_baseline_metrics.csv; data/robustness/wc_boundary_sensitivity.csv; data/coverage/sample_coverage_summary.csv; data/coverage/country_exclusion_lists.csv; data/validation/exposure_predictor_country_panel.csv; data/validation/appendix_predicting_exposure_regressions.csv
World Bank,"GNI per capita PPP, population, income groups, regions, remittance totals, and remittance share of GDP.",https://data.worldbank.org/,World Bank Data Catalog/DataBank terms apply: CC BY 4.0 unless dataset or indicator metadata states otherwise; attribution to the World Bank and data providers required.,FY26 income/region classifications; WDI indicators accessed for 2024 where available.,2026-05-02,"GNI PPP, population, BX.TRF.PWKR.DT.GD.ZS, BX.TRF.PWKR.CD.DT, country groups.",Derived paper-facing tables and selected provider-reported aggregate indicators are redistributed; raw API/bulk-download mirrors are not redistributed.,data/core/nation_exposure_enriched.csv; data/aggregates/region_income_exposure_grid.csv; data/aggregates/region_exposure_marginals.csv; data/aggregates/income_exposure_marginals.csv; data/aggregates/wb_group_exposure_exclusions.csv; data/aggregates/national_exposure_map_data.csv; data/indirect/remittance_data.csv; data/indirect/remittance_weighted_exposure.csv; data/indirect/remittance_corridor_evidence.csv; data/paper_tables/structural_baseline_metrics.csv; data/validation/adoption_gap.csv; data/validation/exposure_predictor_country_panel.csv; data/validation/appendix_predicting_exposure_regressions.csv
World Bank / KNOMAD bilateral remittance matrix,Bilateral source-country shares for remittance inflows.,https://databank.worldbank.org/source/knomad-bilateral-remittance-matrix,World Bank/KNOMAD Data Catalog/DataBank terms apply: CC BY 4.0 unless dataset metadata states otherwise; attribution and World Bank mandatory dataset terms apply.,"WB.KNOMAD.BRE, latest bilateral matrix year used: 2021",2026-05-02,"Bilateral Remittance Estimates using migrant stocks, host-country incomes, and origin-country incomes.",Derived remittance-weighted exposure tables and selected aggregate corridor evidence are redistributed; the full raw bilateral matrix workbook is not redistributed.,data/indirect/remittance_weighted_exposure.csv; data/indirect/remittance_corridor_evidence.csv
Anthropic Economic Index,Published aggregate country usage and task-composition statistics.,https://www.anthropic.com/economic-index,Anthropic Economic Index data are released under CC-BY; associated code is released under MIT.,Economic Index country usage release used in paper analysis snapshot.,2026-05-02,Country-level Claude usage per working-age population.,Country-level derived validation tables only.,data/validation/observed_outcomes_vs_exposure.csv; data/validation/observed_outcomes_vs_exposure_stats.csv; data/validation/adoption_predictor_grid.csv; data/validation/appendix_predicting_adoption_regressions.csv; data/validation/adoption_gap.csv; data/validation/occupation_validation.csv; data/paper_tables/validation_stack_compact.csv
OpenAI Signals,Published country ranks for per-capita ChatGPT usage.,https://openai.com/signals/,OpenAI Signals data are licensed under CC BY 4.0.,OpenAI Signals country-rank release used in paper analysis snapshot.,2026-05-02,Country rank percentile for per-capita ChatGPT use.,Country-level derived validation tables only.,data/validation/observed_outcomes_vs_exposure.csv; data/validation/observed_outcomes_vs_exposure_stats.csv; data/validation/adoption_predictor_grid.csv; data/validation/appendix_predicting_adoption_regressions.csv; data/validation/openai_rank_quintile_summary.csv; data/paper_tables/validation_stack_compact.csv
Microsoft AI Economy Institute,Published cross-country generative AI adoption measures.,https://www.microsoft.com/en-us/corporate-responsibility/topics/ai-economy-institute,Published report/table terms apply; users should consult Microsoft source terms before downstream reuse of the project-authored extraction.,H2 2025 generative AI adoption measure used in paper analysis snapshot.,2026-05-02,"Cross-country generative AI adoption as share of working-age population, extracted from the public report table.",Project-authored country-level extraction is redistributed for website replication and validation plots; raw report PDF is not redistributed.,data/validation/adoption_predictor_grid.csv; data/validation/appendix_predicting_adoption_regressions.csv; data/validation/observed_outcomes_vs_exposure_stats.csv; data/paper_tables/validation_stack_compact.csv; data/validation/microsoft_ai_diffusion_country_adoption.csv
O*NET,Task and occupational property data used for robustness and mechanism checks.,https://www.onetcenter.org/database.html,O*NET 30.2 Database is used under CC BY 4.0 attribution terms.,O*NET 30.2,2026-05-02,"Contains information derived from the O*NET 30.2 Database by the U.S. Department of Labor, Employment and Training Administration (USDOL/ETA), modified through SOC-to-ISCO crosswalks and national aggregation. USDOL/ETA has not approved, endorsed, or tested these modifications.",Derived national mechanism variables only; raw database files not redistributed.,data/validation/exposure_predictor_country_panel.csv; data/validation/appendix_predicting_exposure_regressions.csv; data/validation/occupation_validation.csv; data/paper_tables/validation_stack_compact.csv
Eloundou et al. (2024),Alternative occupational exposure measure used in robustness comparisons.,https://github.com/openai/GPTs-are-GPTs,OpenAI GPTs-are-GPTs GitHub repository data/code are MIT licensed; Science article and arXiv preprint are cited for the paper.,OpenAI GPTs-are-GPTs repository data used in local snapshot.,2026-05-02,LLM-task exposure measure crosswalked from SOC/O*NET to ISCO for robustness comparisons.,Derived ISCO-level and national comparison tables are redistributed; raw repository files are not redistributed.,data/robustness/alternative_exposure_occupation.csv; data/robustness/alternative_exposure_national.csv; data/robustness/alternative_exposure_summary.csv; data/paper_tables/validation_stack_compact.csv
Hosseini Maasoum and Lichtinger (2026),Alternative occupational exposure measure referenced in robustness comparisons.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6059674,SSRN paper/supplement terms apply; no standalone open-data redistribution license identified.,SSRN 2026 paper/supplement used in local snapshot.,2026-05-02,Occupational AI exposure share crosswalked from SOC/O*NET to ISCO for robustness comparisons.,Aggregate robustness statistics and source links only; transformed ISCO-level and national H&L score vectors are not redistributed because open-data redistribution permission has not been verified.,data/robustness/alternative_exposure_summary.csv
